ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
1,Ecuador,Goalkeeper,Hernán Galíndez,35,12,0,0,Ecuador,Aucas
2,Ecuador,Defender,Félix Torres,25,17,2,0,Mexico,Santos Laguna
3,Ecuador,Defender,Piero Hincapié,20,21,1,0,Germany,Bayer Leverkusen
4,Ecuador,Defender,Robert Arboleda,31,33,2,0,Brazil,São Paulo
5,Ecuador,Midfielder,José Cifuentes,23,11,0,0,United States,Los Angeles FC
6,Ecuador,Defender,William Pacho,21,0,0,0,Belgium,Antwerp
7,Ecuador,Defender,Pervis Estupiñán,24,28,3,0,England,Brighton & Hove Albion
8,Ecuador,Midfielder,Carlos Gruezo,27,45,1,0,Germany,FC Augsburg
9,Ecuador,Midfielder,Ayrton Preciado,28,25,3,0,Mexico,Santos Laguna
10,Ecuador,Midfielder,Romario Ibarra,28,25,3,0,Mexico,Pachuca
11,Ecuador,Forward,Michael Estrada,26,35,8,0,Mexico,Cruz Azul
12,Ecuador,Goalkeeper,Moisés Ramírez,22,2,0,0,Ecuador,Independiente del Valle
13,Ecuador,Forward,Enner Valencia (captain),33,74,35,3,Turkey,Fenerbahçe
14,Ecuador,Defender,Xavier Arreaga,28,18,1,0,United States,Seattle Sounders FC
15,Ecuador,Midfielder,Ángel Mena,34,46,7,0,Mexico,León
16,Ecuador,Midfielder,Jeremy Sarmiento,20,9,0,0,England,Brighton & Hove Albion
17,Ecuador,Defender,Ángelo Preciado,24,25,0,0,Belgium,Genk
18,Ecuador,Defender,Diego Palacios,23,12,0,0,United States,Los Angeles FC
19,Ecuador,Midfielder,Gonzalo Plata,22,30,5,0,Spain,Valladolid
20,Ecuador,Midfielder,Sebas Méndez,25,32,0,0,United States,Los Angeles FC
21,Ecuador,Midfielder,Alan Franco,24,25,1,0,Argentina,Talleres
22,Ecuador,Goalkeeper,Alexander Domínguez,35,68,0,0,Ecuador,LDU Quito
23,Ecuador,Midfielder,Moisés Caicedo,21,25,2,0,England,Brighton & Hove Albion
24,Ecuador,Forward,Djorkaeff Reasco,23,4,0,0,Argentina,Newell's Old Boys
25,Ecuador,Defender,Jackson Porozo,22,5,0,0,France,Troyes
26,Ecuador,Forward,Kevin Rodríguez,22,1,0,0,Ecuador,Imbabura
27,Netherlands,Goalkeeper,Remko Pasveer,39,2,0,0,Netherlands,Ajax
28,Netherlands,Defender,Jurriën Timber,21,10,0,0,Netherlands,Ajax
29,Netherlands,Defender,Matthijs de Ligt,23,38,2,0,Germany,Bayern Munich
30,Netherlands,Defender,Virgil van Dijk (captain),31,49,6,0,England,Liverpool
31,Netherlands,Defender,Nathan Aké,27,29,3,0,England,Manchester City
32,Netherlands,Defender,Stefan de Vrij,30,59,3,1,Italy,Internazionale
33,Netherlands,Forward,Steven Bergwijn,25,24,7,0,Netherlands,Ajax
34,Netherlands,Forward,Cody Gakpo,23,9,3,0,Netherlands,PSV Eindhoven
35,Netherlands,Forward,Luuk de Jong,32,38,8,0,Netherlands,PSV Eindhoven
36,Netherlands,Forward,Memphis Depay,28,81,42,2,Spain,Barcelona
37,Netherlands,Midfielder,Steven Berghuis,30,39,2,0,Netherlands,Ajax
38,Netherlands,Forward,Noa Lang,23,5,1,0,Belgium,Club Brugge
39,Netherlands,Goalkeeper,Justin Bijlow,24,6,0,0,Netherlands,Feyenoord
40,Netherlands,Midfielder,Davy Klaassen,29,35,9,0,Netherlands,Ajax
41,Netherlands,Midfielder,Marten de Roon,31,30,0,0,Italy,Atalanta
42,Netherlands,Defender,Tyrell Malacia,23,6,0,0,England,Manchester United
43,Netherlands,Defender,Daley Blind,32,94,2,1,Netherlands,Ajax
44,Netherlands,Forward,Vincent Janssen,28,20,7,0,Belgium,Antwerp
45,Netherlands,Forward,Wout Weghorst,30,15,3,0,Turkey,Be?ikta?
46,Netherlands,Midfielder,Teun Koopmeiners,24,10,1,0,Italy,Atalanta
47,Netherlands,Midfielder,Frenkie de Jong,25,45,1,0,Spain,Barcelona
48,Netherlands,Defender,Denzel Dumfries,26,37,5,0,Italy,Internazionale
49,Netherlands,Goalkeeper,Andries Noppert,28,0,0,0,Netherlands,Heerenveen
50,Netherlands,Midfielder,Kenneth Taylor,20,2,0,0,Netherlands,Ajax
51,Netherlands,Midfielder,Xavi Simons,19,0,0,0,Netherlands,PSV Eindhoven
52,Netherlands,Defender,Jeremie Frimpong,21,0,0,0,Germany,Bayer Leverkusen
53,Qatar,Goalkeeper,Saad Al-Sheeb,32,76,0,0,Qatar,Al-Sadd
54,Qatar,Defender,Ró-Ró,32,80,1,0,Qatar,Al-Sadd
55,Qatar,Midfielder,Abdelkarim Hassan,29,130,15,0,Qatar,Al-Sadd
56,Qatar,Defender,Mohammed Waad,23,21,0,0,Qatar,Al-Sadd
57,Qatar,Defender,Tarek Salman,24,58,0,0,Qatar,Al-Sadd
58,Qatar,Midfielder,Abdulaziz Hatem,32,107,11,0,Qatar,Al-Rayyan
59,Qatar,Forward,Ahmed Alaaeldin,29,47,2,0,Qatar,Al-Gharafa
60,Qatar,Midfielder,Ali Assadalla,29,59,12,0,Qatar,Al-Sadd
61,Qatar,Forward,Mohammed Muntari,28,48,13,0,Qatar,Al-Duhail
62,Qatar,Midfielder,Hassan Al-Haydos (captain),31,169,36,0,Qatar,Al-Sadd
63,Qatar,Forward,Akram Afif,26,89,26,0,Qatar,Al-Sadd
64,Qatar,Midfielder,Karim Boudiaf,32,115,6,0,Qatar,Al-Duhail
65,Qatar,Defender,Musab Kheder,29,30,0,0,Qatar,Al-Sadd
66,Qatar,Defender,Homam Ahmed,23,29,2,0,Qatar,Al-Gharafa
67,Qatar,Defender,Bassam Al-Rawi,24,58,2,0,Qatar,Al-Duhail
68,Qatar,Defender,Boualem Khoukhi,32,105,20,0,Qatar,Al-Sadd
69,Qatar,Defender,Ismaeel Mohammad,32,70,4,0,Qatar,Al-Duhail
70,Qatar,Forward,Khalid Muneer,24,2,0,0,Qatar,Al-Wakrah
71,Qatar,Forward,Almoez Ali,26,85,42,0,Qatar,Al-Duhail
72,Qatar,Midfielder,Salem Al-Hajri,26,22,0,0,Qatar,Al-Sadd
73,Qatar,Goalkeeper,Yousef Hassan,26,7,0,0,Qatar,Al-Gharafa
74,Qatar,Goalkeeper,Meshaal Barsham,24,20,0,0,Qatar,Al-Sadd
75,Qatar,Midfielder,Assim Madibo,26,43,0,0,Qatar,Al-Duhail
76,Qatar,Midfielder,Naif Al-Hadhrami,21,1,0,0,Qatar,Al-Rayyan
77,Qatar,Midfielder,Jassem Gaber,20,0,0,0,Qatar,Al-Arabi
78,Qatar,Midfielder,Mostafa Meshaal,21,1,0,0,Qatar,Al-Sadd
79,Senegal,Goalkeeper,Édouard Mendy,30,25,0,0,England,Chelsea
80,Senegal,Defender,Ismail Jakobs,23,2,0,0,France,Monaco
81,Senegal,Defender,Kalidou Koulibaly (captain),31,64,0,0,England,Chelsea
82,Senegal,Defender,Abdou Diallo,26,18,2,0,Germany,RB Leipzig
83,Senegal,Midfielder,Idrissa Gueye,33,96,7,0,England,Everton
84,Senegal,Midfielder,Nampalys Mendy,30,19,0,0,England,Leicester City
85,Senegal,Defender,Youssouf Sabaly,29,24,0,0,Spain,Real Betis
86,Senegal,Defender,Cheikhou Kouyaté,32,83,4,0,England,Nottingham Forest
87,Senegal,Forward,Iliman Ndiaye,22,2,0,0,England,Sheffield United
88,Senegal,Forward,Sadio Mané,30,93,34,1,Germany,Bayern Munich
89,Senegal,Defender,Formose Mendy,21,2,0,0,France,Amiens
90,Senegal,Defender,Pape Abou Cissé,27,13,1,0,Greece,Olympiacos
91,Senegal,Midfielder,Pape Gueye,23,12,0,0,France,Marseille
92,Senegal,Defender,Moustapha Name,27,6,0,0,Cyprus,Pafos
93,Senegal,Midfielder,Krépin Diatta,23,26,2,0,France,Monaco
94,Senegal,Midfielder,Pathé Ciss,28,1,0,0,Spain,Rayo Vallecano
95,Senegal,Midfielder,Pape Matar Sarr,20,10,0,0,England,Tottenham Hotspur
96,Senegal,Forward,Ismaïla Sarr,24,48,10,0,England,Watford
97,Senegal,Forward,Famara Diédhiou,29,24,10,0,Turkey,Alanyaspor
98,Senegal,Forward,Bamba Dieng,22,13,2,0,France,Marseille
99,Senegal,Forward,Boulaye Dia,26,19,3,0,Italy,Salernitana
100,Senegal,Defender,Fodé Ballo-Touré,25,14,0,0,Italy,Milan
101,Senegal,Goalkeeper,Seny Dieng,27,4,0,0,England,Queens Park Rangers
102,Senegal,Midfielder,Mamadou Loum,25,3,0,0,England,Reading
103,Senegal,Forward,Nicolas Jackson,21,0,0,0,Spain,Villarreal
104,Senegal,Goalkeeper,Alfred Gomis,29,14,0,0,France,Rennes
105,England,Goalkeeper,Jordan Pickford,28,45,0,0,England,Everton
106,England,Defender,Kyle Walker,32,70,0,0,England,Manchester City
107,England,Defender,Luke Shaw,27,23,3,0,England,Manchester United
108,England,Midfielder,Declan Rice,23,34,2,0,England,West Ham United
109,England,Defender,John Stones,28,59,3,2,England,Manchester City
110,England,Defender,Harry Maguire,29,48,7,1,England,Manchester United
111,England,Forward,Jack Grealish,27,24,1,0,England,Manchester City
112,England,Midfielder,Jordan Henderson,32,70,2,0,England,Liverpool
113,England,Forward,Harry Kane (captain),29,75,51,6,England,Tottenham Hotspur
114,England,Forward,Raheem Sterling,27,79,19,0,England,Chelsea
115,England,Forward,Marcus Rashford,25,46,12,0,England,Manchester United
116,England,Defender,Kieran Trippier,32,37,1,1,England,Newcastle United
117,England,Goalkeeper,Nick Pope,30,10,0,0,England,Newcastle United
118,England,Midfielder,Kalvin Phillips,26,23,0,0,England,Manchester City
119,England,Defender,Eric Dier,28,47,3,0,England,Tottenham Hotspur
120,England,Defender,Conor Coady,29,10,1,0,England,Everton
121,England,Forward,Bukayo Saka,21,20,4,0,England,Arsenal
122,England,Defender,Trent Alexander-Arnold,24,17,1,0,England,Liverpool
123,England,Midfielder,Mason Mount,23,32,5,0,England,Chelsea
124,England,Midfielder,Phil Foden,22,18,2,0,England,Manchester City
125,England,Defender,Ben White,25,4,0,0,England,Arsenal
126,England,Midfielder,Jude Bellingham,19,17,0,0,Germany,Borussia Dortmund
127,England,Goalkeeper,Aaron Ramsdale,24,3,0,0,England,Arsenal
128,England,Forward,Callum Wilson,30,4,1,0,England,Newcastle United
129,England,Midfielder,James Maddison,25,1,0,0,England,Leicester City
130,England,Midfielder,Conor Gallagher,22,4,0,0,England,Chelsea
131,Iran,Goalkeeper,Alireza Beiranvand,30,52,0,0,Iran,Persepolis
132,Iran,Defender,Sadegh Moharrami,26,21,0,0,Croatia,Dinamo Zagreb
133,Iran,Defender,Ehsan Hajsafi (captain),32,121,7,0,Greece,AEK Athens
134,Iran,Defender,Shojae Khalilzadeh,33,25,1,0,Qatar,Al-Ahli Doha
135,Iran,Defender,Milad Mohammadi,29,45,1,0,Greece,AEK Athens
136,Iran,Midfielder,Saeid Ezatolahi,26,47,1,0,Denmark,Vejle
