ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
1,Friendly,1872-11-30,Scotland,0,0,England,,TRUE
2,Friendly,1873-03-08,England,4,2,Scotland,,TRUE
3,Friendly,1874-03-07,Scotland,2,1,England,,TRUE
4,Friendly,1875-03-06,England,2,2,Scotland,,TRUE
5,Friendly,1876-03-04,Scotland,3,0,England,,TRUE
6,Friendly,1876-03-25,Scotland,4,0,Wales,,TRUE
7,Friendly,1877-03-03,England,1,3,Scotland,,TRUE
8,Friendly,1877-03-05,Wales,0,2,Scotland,,TRUE
9,Friendly,1878-03-02,Scotland,7,2,England,,TRUE
10,Friendly,1878-03-23,Scotland,9,0,Wales,,TRUE
11,Friendly,1879-01-18,England,2,1,Wales,,TRUE
12,Friendly,1879-04-05,England,5,4,Scotland,,TRUE
13,Friendly,1879-04-07,Wales,0,3,Scotland,,TRUE
14,Friendly,1880-03-13,Scotland,5,4,England,,TRUE
15,Friendly,1880-03-15,Wales,2,3,England,,TRUE
16,Friendly,1880-03-27,Scotland,5,1,Wales,,TRUE
17,Friendly,1881-02-26,England,0,1,Wales,,TRUE
18,Friendly,1881-03-12,England,1,6,Scotland,,TRUE
19,Friendly,1881-03-14,Wales,1,5,Scotland,,TRUE
20,Friendly,1882-02-18,Northern Ireland,0,13,England,,TRUE
21,Friendly,1882-02-25,Wales,7,1,Northern Ireland,,TRUE
22,Friendly,1882-03-11,Scotland,5,1,England,,TRUE
23,Friendly,1882-03-13,Wales,5,3,England,,TRUE
24,Friendly,1882-03-25,Scotland,5,0,Wales,,TRUE
25,Friendly,1883-02-03,England,5,0,Wales,,TRUE
26,Friendly,1883-02-24,England,7,0,Northern Ireland,,TRUE
27,Friendly,1883-03-10,England,2,3,Scotland,,TRUE
28,Friendly,1883-03-12,Wales,0,3,Scotland,,TRUE
29,Friendly,1883-03-17,Northern Ireland,1,1,Wales,,TRUE
30,British Championship,1884-02-09,Wales,6,0,Northern Ireland,,TRUE
31,British Championship,1884-02-23,Northern Ireland,1,8,England,,TRUE
32,British Championship,1884-03-15,Scotland,1,0,England,,TRUE
33,British Championship,1884-03-17,Wales,0,4,England,,TRUE
34,British Championship,1884-03-29,Scotland,4,1,Wales,,TRUE
35,British Championship,1885-02-28,England,4,0,Northern Ireland,,TRUE
36,British Championship,1885-03-14,England,1,1,Wales,,TRUE
37,British Championship,1885-03-21,England,1,1,Scotland,,TRUE
38,British Championship,1885-03-23,Wales,1,8,Scotland,,TRUE
39,British Championship,1885-04-11,Northern Ireland,2,8,Wales,,TRUE
40,Friendly,1885-11-28,United States,0,1,Canada,,TRUE
41,British Championship,1886-02-27,Wales,5,0,Northern Ireland,,TRUE
42,British Championship,1886-03-13,Northern Ireland,1,6,England,,TRUE
43,British Championship,1886-03-27,Scotland,1,1,England,,TRUE
44,British Championship,1886-03-29,Wales,1,3,England,,TRUE
45,British Championship,1886-04-10,Scotland,4,1,Wales,,TRUE
46,Friendly,1886-11-25,United States,3,2,Canada,,TRUE
47,British Championship,1887-02-05,England,7,0,Northern Ireland,,TRUE
48,British Championship,1887-02-26,England,4,0,Wales,,TRUE
49,British Championship,1887-03-12,Northern Ireland,4,1,Wales,,TRUE
50,British Championship,1887-03-19,England,2,3,Scotland,,TRUE
51,British Championship,1887-03-21,Wales,0,2,Scotland,,TRUE
52,British Championship,1888-02-04,England,5,1,Wales,,TRUE
53,British Championship,1888-03-03,Wales,11,0,Northern Ireland,,TRUE
54,British Championship,1888-03-10,Scotland,5,1,Wales,,TRUE
55,British Championship,1888-03-17,Scotland,0,5,England,,TRUE
56,British Championship,1888-04-07,Northern Ireland,1,5,England,,TRUE
57,Friendly,1888-09-19,Scotland,4,0,Canada,,TRUE
58,British Championship,1889-02-23,England,4,1,Wales,,TRUE
59,British Championship,1889-03-02,England,6,1,Northern Ireland,,TRUE
60,British Championship,1889-04-13,England,2,3,Scotland,,TRUE
61,British Championship,1889-04-15,Wales,0,0,Scotland,,TRUE
62,British Championship,1889-04-27,Northern Ireland,1,3,Wales,,TRUE
63,British Championship,1890-02-08,Wales,5,2,Northern Ireland,,FALSE
64,British Championship,1890-03-15,Northern Ireland,1,9,England,,TRUE
65,British Championship,1890-03-15,Wales,1,3,England,,TRUE
66,British Championship,1890-03-22,Scotland,5,0,Wales,,TRUE
67,British Championship,1890-04-05,Scotland,1,1,England,,TRUE
68,British Championship,1891-02-07,Northern Ireland,7,2,Wales,,TRUE
69,British Championship,1891-03-07,England,4,1,Wales,,TRUE
70,British Championship,1891-03-07,England,6,1,Northern Ireland,,TRUE
71,British Championship,1891-03-21,Wales,3,4,Scotland,,TRUE
72,British Championship,1891-04-06,England,2,1,Scotland,,TRUE
73,British Championship,1892-02-27,Wales,1,1,Northern Ireland,,TRUE
74,British Championship,1892-03-05,Northern Ireland,0,2,England,,TRUE
75,British Championship,1892-03-05,Wales,0,2,England,,TRUE
76,British Championship,1892-03-26,Scotland,6,1,Wales,,TRUE
77,British Championship,1892-04-02,Scotland,1,4,England,,TRUE
78,British Championship,1893-02-25,England,6,1,Northern Ireland,,TRUE
79,British Championship,1893-03-13,England,6,0,Wales,,TRUE
80,British Championship,1893-03-18,Wales,0,8,Scotland,,TRUE
81,British Championship,1893-04-01,England,5,2,Scotland,,TRUE
82,British Championship,1894-02-24,Wales,4,1,Northern Ireland,,TRUE
83,British Championship,1894-03-03,Northern Ireland,2,2,England,,TRUE
84,British Championship,1894-03-12,Wales,1,5,England,,TRUE
85,British Championship,1894-03-24,Scotland,5,2,Wales,,TRUE
86,British Championship,1894-04-07,Scotland,2,2,England,,TRUE
87,British Championship,1895-03-09,England,9,0,Northern Ireland,,TRUE
88,British Championship,1895-03-16,Northern Ireland,2,2,Wales,,TRUE
89,British Championship,1895-03-18,England,1,1,Wales,,TRUE
90,British Championship,1895-03-23,Wales,2,2,Scotland,,TRUE
91,British Championship,1895-04-06,England,3,0,Scotland,,TRUE
92,British Championship,1896-02-29,Wales,6,1,Northern Ireland,,TRUE
93,British Championship,1896-03-07,Northern Ireland,0,2,England,,TRUE
94,British Championship,1896-03-16,Wales,1,9,England,,TRUE
95,British Championship,1896-03-21,Scotland,4,0,Wales,,TRUE
96,British Championship,1896-04-04,Scotland,2,1,England,,TRUE
97,British Championship,1897-02-20,England,6,0,Northern Ireland,,TRUE
98,British Championship,1897-03-06,Northern Ireland,4,3,Wales,,TRUE
99,British Championship,1897-03-20,Wales,2,2,Scotland,,TRUE
100,British Championship,1897-03-29,England,4,0,Wales,,TRUE
101,British Championship,1897-04-03,England,1,2,Scotland,,TRUE
102,British Championship,1898-02-19,Wales,0,1,Northern Ireland,,TRUE
103,British Championship,1898-03-05,Northern Ireland,2,3,England,,TRUE
104,British Championship,1898-03-19,Scotland,5,2,Wales,,TRUE
105,British Championship,1898-03-28,Wales,0,3,England,,TRUE
