ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Host Team
1,1930,1930-07-13,Group stage,France,4,1,Mexico,,FALSE
2,1930,1930-07-13,Group stage,United States,3,0,Belgium,,FALSE
3,1930,1930-07-14,Group stage,Yugoslavia,2,1,Brazil,,FALSE
4,1930,1930-07-14,Group stage,Romania,3,1,Peru,,FALSE
5,1930,1930-07-15,Group stage,Argentina,1,0,France,,FALSE
6,1930,1930-07-16,Group stage,Chile,3,0,Mexico,,FALSE
7,1930,1930-07-17,Group stage,Yugoslavia,4,0,Bolivia,,FALSE
8,1930,1930-07-17,Group stage,United States,3,0,Paraguay,,FALSE
9,1930,1930-07-18,Group stage,Uruguay,1,0,Peru,,TRUE
10,1930,1930-07-19,Group stage,Chile,1,0,France,,FALSE
11,1930,1930-07-19,Group stage,Argentina,6,3,Mexico,,FALSE
12,1930,1930-07-20,Group stage,Brazil,4,0,Bolivia,,FALSE
13,1930,1930-07-20,Group stage,Paraguay,1,0,Belgium,,FALSE
14,1930,1930-07-21,Group stage,Uruguay,4,0,Romania,,TRUE
15,1930,1930-07-22,Group stage,Argentina,3,1,Chile,,FALSE
16,1930,1930-07-26,Semi-finals,Argentina,6,1,United States,,FALSE
17,1930,1930-07-27,Semi-finals,Uruguay,6,1,Yugoslavia,,TRUE
18,1930,1930-07-30,Final,Uruguay,4,2,Argentina,,TRUE
19,1934,1934-05-27,Round of 16,Austria,3,2,France,Extra time,FALSE
20,1934,1934-05-27,Round of 16,Hungary,4,2,Egypt,,FALSE
21,1934,1934-05-27,Round of 16,Switzerland,3,2,Netherlands,,FALSE
22,1934,1934-05-27,Round of 16,Sweden,3,2,Argentina,,FALSE
23,1934,1934-05-27,Round of 16,Germany,5,2,Belgium,,FALSE
24,1934,1934-05-27,Round of 16,Spain,3,1,Brazil,,FALSE
25,1934,1934-05-27,Round of 16,Italy,7,1,United States,,TRUE
26,1934,1934-05-27,Round of 16,Czechoslovakia,2,1,Romania,,FALSE
27,1934,1934-05-31,Quarter-finals,Czechoslovakia,3,2,Switzerland,,FALSE
28,1934,1934-05-31,Quarter-finals,Germany,2,1,Sweden,,FALSE
29,1934,1934-05-31,Quarter-finals,Italy,1,1,Spain,,TRUE
30,1934,1934-05-31,Quarter-finals,Austria,2,1,Hungary,,FALSE
31,1934,1934-06-01,Quarter-finals,Italy,1,0,Spain,,TRUE
32,1934,1934-06-03,Semi-finals,Italy,1,0,Austria,,TRUE
33,1934,1934-06-03,Semi-finals,Czechoslovakia,3,1,Germany,,FALSE
34,1934,1934-06-07,Third place,Germany,3,2,Austria,,FALSE
35,1934,1934-06-10,Final,Italy,2,1,Czechoslovakia,Extra time,TRUE
36,1938,1938-06-04,Round of 16,Switzerland,1,1,Germany,,FALSE
37,1938,1938-06-05,Round of 16,Hungary,6,0,Indonesia,,FALSE
38,1938,1938-06-05,Round of 16,France,3,1,Belgium,,TRUE
39,1938,1938-06-05,Round of 16,Cuba,3,3,Romania,,FALSE
40,1938,1938-06-05,Round of 16,Italy,2,1,Norway,Extra time,FALSE
41,1938,1938-06-05,Round of 16,Brazil,6,5,Poland,Extra time,FALSE
42,1938,1938-06-05,Round of 16,Czechoslovakia,3,0,Netherlands,Extra time,FALSE
43,1938,1938-06-09,Round of 16,Cuba,2,1,Romania,,FALSE
44,1938,1938-06-09,Round of 16,Switzerland,4,2,Germany,,FALSE
45,1938,1938-06-12,Quarter-finals,Brazil,1,1,Czechoslovakia,,FALSE
46,1938,1938-06-12,Quarter-finals,Hungary,2,0,Switzerland,,FALSE
47,1938,1938-06-12,Quarter-finals,Sweden,8,0,Cuba,,FALSE
48,1938,1938-06-12,Quarter-finals,France,1,3,Italy,,TRUE
49,1938,1938-06-14,Quarter-finals,Brazil,2,1,Czechoslovakia,,FALSE
50,1938,1938-06-16,Semi-finals,Hungary,5,1,Sweden,,FALSE
51,1938,1938-06-16,Semi-finals,Italy,2,1,Brazil,,FALSE
52,1938,1938-06-19,Third place,Brazil,4,2,Sweden,,FALSE
53,1938,1938-06-19,Final,Italy,4,2,Hungary,,FALSE
54,1950,1950-06-24,First round,Brazil,4,0,Mexico,,TRUE
55,1950,1950-06-25,First round,England,2,0,Chile,,FALSE
56,1950,1950-06-25,First round,Spain,3,1,United States,,FALSE
57,1950,1950-06-25,First round,Sweden,3,2,Italy,,FALSE
58,1950,1950-06-25,First round,Yugoslavia,3,0,Switzerland,,FALSE
59,1950,1950-06-28,First round,Brazil,2,2,Switzerland,,TRUE
60,1950,1950-06-28,First round,Yugoslavia,4,1,Mexico,,FALSE
61,1950,1950-06-29,First round,Spain,2,0,Chile,,FALSE
62,1950,1950-06-29,First round,United States,1,0,England,,FALSE
63,1950,1950-06-29,First round,Sweden,2,2,Paraguay,,FALSE
64,1950,1950-07-01,First round,Brazil,2,0,Yugoslavia,,TRUE
65,1950,1950-07-02,First round,Spain,1,0,England,,FALSE
66,1950,1950-07-02,First round,Italy,2,0,Paraguay,,FALSE
67,1950,1950-07-02,First round,Uruguay,8,0,Bolivia,,FALSE
68,1950,1950-07-02,First round,Chile,5,2,United States,,FALSE
69,1950,1950-07-02,First round,Switzerland,2,1,Mexico,,FALSE
70,1950,1950-07-09,Final round,Uruguay,2,2,Spain,,FALSE
71,1950,1950-07-09,Final round,Brazil,7,1,Sweden,,TRUE
72,1950,1950-07-13,Final round,Brazil,6,1,Spain,,TRUE
73,1950,1950-07-13,Final round,Uruguay,3,2,Sweden,,FALSE
74,1950,1950-07-16,Final round,Sweden,3,1,Spain,,FALSE
75,1950,1950-07-16,Final round,Uruguay,2,1,Brazil,,TRUE
76,1954,1954-06-16,Group stage,Uruguay,2,0,Czechoslovakia,,FALSE
77,1954,1954-06-16,Group stage,Austria,1,0,Scotland,,FALSE
78,1954,1954-06-16,Group stage,Brazil,5,0,Mexico,,FALSE
79,1954,1954-06-16,Group stage,Yugoslavia,1,0,France,,FALSE
80,1954,1954-06-17,Group stage,Switzerland,2,1,Italy,,TRUE
81,1954,1954-06-17,Group stage,Germany,4,1,Turkey,,FALSE
82,1954,1954-06-17,Group stage,Hungary,9,0,South Korea,,FALSE
83,1954,1954-06-17,Group stage,England,4,4,Belgium,,FALSE
84,1954,1954-06-19,Group stage,Uruguay,7,0,Scotland,,FALSE
85,1954,1954-06-19,Group stage,Austria,5,0,Czechoslovakia,,FALSE
86,1954,1954-06-19,Group stage,Brazil,1,1,Yugoslavia,,FALSE
87,1954,1954-06-19,Group stage,France,3,2,Mexico,,FALSE
88,1954,1954-06-20,Group stage,Hungary,8,3,Germany,,FALSE
89,1954,1954-06-20,Group stage,Turkey,7,0,South Korea,,FALSE
90,1954,1954-06-20,Group stage,Italy,4,1,Belgium,,FALSE
91,1954,1954-06-20,Group stage,Switzerland,0,2,England,,TRUE
92,1954,1954-06-23,Group stage,Germany,7,2,Turkey,,FALSE
93,1954,1954-06-23,Group stage,Switzerland,4,1,Italy,,TRUE
94,1954,1954-06-26,Quarter-finals,Uruguay,4,2,England,,FALSE
95,1954,1954-06-26,Quarter-finals,Switzerland,5,7,Austria,,TRUE
96,1954,1954-06-27,Quarter-finals,Germany,2,0,Yugoslavia,,FALSE
97,1954,1954-06-27,Quarter-finals,Hungary,4,2,Brazil,,FALSE
98,1954,1954-06-30,Semi-finals,Germany,6,1,Austria,,FALSE
99,1954,1954-06-30,Semi-finals,Hungary,4,2,Uruguay,Extra time,FALSE
100,1954,1954-07-03,Third place,Austria,3,1,Uruguay,,FALSE
101,1954,1954-07-04,Final,Germany,3,2,Hungary,,FALSE
102,1958,1958-06-08,Group stage,Sweden,3,0,Mexico,,TRUE
103,1958,1958-06-08,Group stage,Russia,2,2,England,,FALSE
104,1958,1958-06-08,Group stage,Argentina,1,3,Germany,,FALSE
